Arizona Cardinals,10-4-1,5-2-0,5-2-1
Atlanta Falcons,6-9-0,3-4-0,3-5-0
Baltimore Ravens,7-7-1,5-3-0,2-4-1
Buffalo Bills,8-7-0,6-2-0,2-5-0
Carolina Panthers,9-5-1,6-1-1,3-4-0
Chicago Bears,4-9-2,1-4-2,3-5-0
Cincinnati Bengals,9-5-1,7-0-0,2-5-1
Cleveland Browns,6-9-0,3-5-0,3-4-0
Dallas Cowboys,8-7-0,4-3-0,4-4-0
Denver Broncos,9-6-0,5-3-0,4-3-0
Detroit Lions,6-9-0,3-5-0,3-4-0
Green Bay Packers,5-10-0,3-5-0,2-5-0
Houston Texans,3-12-0,1-7-0,2-5-0
Indianapolis Colts,8-6-1,4-3-0,4-3-1
Jacksonville Jaguars,5-9-1,1-6-1,4-3-0
Kansas City Chiefs,8-7-0,2-6-0,6-1-0
Miami Dolphins,9-6-0,5-2-0,4-4-0
Minnesota Vikings,8-7-0,4-3-0,4-4-0
New England Patriots,7-8-0,5-2-0,2-6-0
New Orleans Saints,7-7-1,6-0-1,1-7-0
New York Giants,6-9-0,2-5-0,4-4-0
New York Jets,8-6-1,6-2-0,2-4-1
Oakland Raiders,8-7-0,3-4-0,5-3-0
Philadelphia Eagles,8-7-0,3-5-0,5-2-0
Pittsburgh Steelers,8-7-0,4-3-0,4-4-0
San Diego Chargers,9-5-1,5-2-0,4-3-1
San Francisco 49ers,9-5-1,4-4-0,5-1-1
Seattle Seahawks,10-5-0,4-3-0,6-2-0
St. Louis Rams,7-8-0,5-3-0,2-5-0
Tampa Bay Buccaneers,6-9-0,4-4-0,2-5-0
Tennessee Titans,6-5-4,1-3-3,5-2-1
Washington Redskins,5-10-0,3-5-0,2-5-0